,imdb_score,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,gross,budget,num_critic_for_reviews,num_voted_users,num_user_for_reviews,duration,facenumber_in_poster
imdb_score,1,0.253951157,0.171593071,0.085552901,0.092076041,0.057539463,0.200514663,0.031030225,0.334865933,0.428023285,0.309272852,0.342855023,-0.067694986
movie_facebook_likes,0.253951157,1,0.161828559,0.134814148,0.243475254,0.279372953,0.377715492,0.061844188,0.689137041,0.537426006,0.400197302,0.2179577,0.00906541
director_facebook_likes,0.171593071,0.161828559,1,0.090500708,0.11947398,0.120198623,0.144661271,0.020994653,0.180597989,0.296798033,0.221672999,0.173154653,-0.041766139
actor_1_facebook_likes,0.085552901,0.134814148,0.090500708,1,0.389288615,0.249113738,0.153992388,0.022495836,0.185623855,0.190484923,0.142461712,0.083757945,0.073375312
actor_2_facebook_likes,0.092076041,0.243475254,0.11947398,0.389288615,1,0.559195653,0.262397421,0.044166359,0.2797204,0.269005779,0.217170746,0.136890979,0.072821986
actor_3_facebook_likes,0.057539463,0.279372953,0.120198623,0.249113738,0.559195653,1,0.307898404,0.047402929,0.270945805,0.28637293,0.228939156,0.132428001,0.101049038
gross,0.200514663,0.377715492,0.144661271,0.153992388,0.262397421,0.307898404,1,0.102061063,0.480428404,0.636809839,0.559484003,0.253561991,-0.029175976
budget,0.031030225,0.061844188,0.020994653,0.022495836,0.044166359,0.047402929,0.102061063,1,0.119715158,0.079331918,0.084055988,0.074163395,-0.019817258
num_critic_for_reviews,0.334865933,0.689137041,0.180597989,0.185623855,0.2797204,0.270945805,0.480428404,0.119715158,1,0.624303579,0.606683974,0.25266671,-0.03304275
num_voted_users,0.428023285,0.537426006,0.296798033,0.190484923,0.269005779,0.28637293,0.636809839,0.079331918,0.624303579,1,0.797674597,0.34188606,-0.027612499
num_user_for_reviews,0.309272852,0.400197302,0.221672999,0.142461712,0.217170746,0.228939156,0.559484003,0.084055988,0.606683974,0.797674597,1,0.353509247,-0.069805353
duration,0.342855023,0.2179577,0.173154653,0.083757945,0.136890979,0.132428001,0.253561991,0.074163395,0.25266671,0.34188606,0.353509247,1,0.028224141
facenumber_in_poster,-0.067694986,0.00906541,-0.041766139,0.073375312,0.072821986,0.101049038,-0.029175976,-0.019817258,-0.03304275,-0.027612499,-0.069805353,0.028224141,1
